Identifier from Copilot,Title from Copilot,"Implementation Applicable (Y or N/A)",Identifier from ISM,Description from ISM
ISM-0446,Foreign nationals restricted from privileged access to AUSTEO/REL,Not Assessed,ISM-0446,"Foreign nationals, including seconded foreign nationals, do not have privileged access to systems that process, store or communicate AUSTEO or REL data."
ISM-0447,Foreign nationals restricted from privileged access to AGAO,Not Assessed,ISM-0447,"Foreign nationals, excluding seconded foreign nationals, do not have privileged access to systems that process, store or communicate AGAO data."
ISM-0430,Remove/suspend access same day requirement ends,Not Assessed,ISM-0430,Access to systems and their resources are removed or suspended the same day personnel no longer have a legitimate requirement for access.
ISM-1591,Remove/suspend access when malicious activity detected,Not Assessed,ISM-1591,Access to systems and their resources are removed or suspended as soon as practicable when personnel are detected undertaking malicious activities.
ISM-1404,Disable unprivileged access after 45 days inactivity,Not Assessed,ISM-1404,Unprivileged access to systems and their resources are disabled after 45 days of inactivity.
ISM-1648,Disable privileged access after 45 days inactivity,Not Assessed,ISM-1648,Privileged access to systems and their resources are disabled after 45 days of inactivity.
ISM-1647,Disable privileged access after 12 months unless revalidated,Not Assessed,ISM-1647,Privileged access to systems and their resources are disabled after 12 months unless revalidated.
ISM-0407,Maintain secure user access record for system lifecycle,Not Assessed,ISM-0407,"A secure record is maintained for the life of systems and their resources that covers the following for each user:
• their user identification
• their signed agreement to abide by system usage policies
• who authorised their access
• when their access was granted
• the level of access they were granted
• when their access, and their level of access, was last reviewed
• when their level of access was changed, and to what extent (if applicable)
• when their access was withdrawn (if applicable)."
ISM-0441,Temporary access controls restrict to required data,Not Assessed,ISM-0441,"When personnel are granted temporary access to systems and their resources, effective controls are put in place to restrict their access to only data required for them to undertake their duties."
ISM-0443,Temporary access not granted for caveated/sensitive compartmented info,Not Assessed,ISM-0443,"Temporary access is not granted to systems that process, store or communicate caveated or sensitive compartmented information."
ISM-1610,Document and test emergency access method periodically,Not Assessed,ISM-1610,A method of emergency access to systems and their resources is documented and tested at least once when initially implemented and each time fundamental information technology infrastructure changes occur.
ISM-1611,Break glass accounts only when normal auth impossible,Not Assessed,ISM-1611,Break glass accounts are only used when normal authentication processes cannot be used.
ISM-1612,Break glass accounts limited to authorised activities,Not Assessed,ISM-1612,Break glass accounts are only used for specific authorised activities.
ISM-1614,Change break glass credentials after use,Not Assessed,ISM-1614,Break glass account credentials are changed by the account custodian after they are accessed by any other party.
ISM-1615,Test break glass accounts after credential change,Not Assessed,ISM-1615,Break glass accounts are tested after credentials are changed.
